주소,경도,위도
서울특별시 강남구 개포동 언주로 3,127.0568408,37.4762828
서울특별시 강남구 개포동 개포로 307,127.0560141,37.4839728
서울특별시 강남구 개포동 개포로109길 69,127.0766256,37.4962958
서울특별시 강남구 개포동 개포로 310,127.0645824,37.4868621
서울특별시 강남구 개포동 선릉로 7,127.0626272,37.4802905
서울특별시 강남구 개포동 삼성로4길 17,127.0685038,37.4876225
서울특별시 강남구 개포동 개포로 516,127.0716679,37.4888759
서울특별시 강남구 논현동 언주로130길 30,127.0381369,37.5147466
서울특별시 강남구 논현동 학동로 165,127.0288858,37.513885
서울특별시 강남구 논현동 언주로 604,127.038955,37.5095247
서울특별시 강남구 대치동 도곡로78길 22,127.058402,37.4963866
서울특별시 강남구 대치동 삼성로64길 5,127.0609734,37.5008276
서울특별시 강남구 대치동 삼성로64길 12,127.0611826,37.4999288
서울특별시 강남구 대치동 도곡로93길 12,127.0654872,37.5010448
서울특별시 강남구 대치동 도곡로 404,127.0539934,37.4962451
서울특별시 강남구 대치동 테헤란로 428,127.054004,37.5056874
서울특별시 강남구 도곡동 선릉로 221,127.0505473,37.4935415
서울특별시 강남구 도곡동 남부순환로363길 30,127.0386822,37.4870433
서울특별시 강남구 도곡동 남부순환로363길 49,127.0371153,37.4881978
서울특별시 강남구 도곡동 도곡로 320,127.0505314,37.495087
서울특별시 강남구 대치동 선릉로 222,127.0545628,37.4950563
서울특별시 강남구 대치동 삼성로 212,127.0653272,37.4974176
서울특별시 강남구 개포동 삼성로 14,127.057159,37.520494
서울특별시 강남구 개포동 언주로 105,127.0526804,37.4816927
서울특별시 강남구 개포동 언주로 110,127.054174,37.4845146
서울특별시 강남구 개포동 논현로2길 61-4,127.0547935,37.4748193
서울특별시 강남구 개포동 개포로28길 28,127.0503747,37.4773496
서울특별시 강남구 개포동 개포로109길 21,127.0752156,37.4941844
서울특별시 강남구 개포동 논현로2길 36,127.0530959,37.4732828
서울특별시 강남구 개포동 개포로109길 9,127.0752156,37.4941844
서울특별시 강남구 개포동 언주로 21,127.0626272,37.4802905
서울특별시 강남구 개포동 논현로2길 22,127.0522325,37.4727143
서울특별시 강남구 개포동 선릉로8길 5,127.0612903,37.4829138
서울특별시 강남구 개포동 개포로 411,127.0623884,37.4881841
서울특별시 강남구 개포동 개포로 311,127.0572512,37.4848284
서울특별시 강남구 개포동 개포로31길 9-9,127.0487812,37.4795087
서울특별시 강남구 개포동 개포로31길 9-5,127.0491299,37.4795455
서울특별시 강남구 개포동 선릉로18길 12,127.0599654,37.4843078
서울특별시 강남구 개포동 개포로 303,127.0544261,37.4826691
서울특별시 강남구 개포동 언주로 107,127.0512529,37.4824771
서울특별시 강남구 개포동 개포로 409,127.0609561,37.4878919
서울특별시 강남구 논현동 봉은사로11길 12,127.02875,37.5068611
서울특별시 강남구 논현동 강남대로112길 41,127.0276374,37.5063694
서울특별시 강남구 논현동 언주로116길 12,127.0381991,37.5106814
서울특별시 강남구 논현동 도산대로54길 48-8,127.038856,37.5196765
서울특별시 강남구 논현동 학동로38길 22,127.0341414,37.5135183
서울특별시 강남구 논현동 논현로113길 5,127.0328325,37.5081759
서울특별시 강남구 논현동 논현로111길 39,127.0303956,37.5068229
서울특별시 강남구 논현동 학동로46길 32,127.0387733,37.5140421
서울특별시 강남구 논현동 학동로30길 21,127.0327228,37.5127468
서울특별시 강남구 논현동 선릉로137길 6,127.0399268,37.5192639
서울특별시 강남구 논현동 논현로124길 7,127.0322748,37.5124715
서울특별시 강남구 논현동 학동로43길 38,127.03803,37.5184523
서울특별시 강남구 논현동 학동로 338,127.0401391,37.5165513
서울특별시 강남구 논현동 봉은사로11길 11,127.0283183,37.5067119
서울특별시 강남구 논현동 도산대로50길 54,127.0375072,37.5187801
서울특별시 강남구 논현동 언주로116길 6,127.0376521,37.5103561
서울특별시 강남구 논현동 언주로146길 18,127.0365755,37.5193536
서울특별시 강남구 논현동 학동로46길 38,127.0387754,37.5135469
서울특별시 강남구 논현동 언주로122길 25,127.0383696,37.5125346
서울특별시 강남구 논현동 논현로124길 8,127.0323823,37.5121764
서울특별시 강남구 논현동 학동로5길 17,127.0226388,37.5129102
서울특별시 강남구 논현동 학동로11길 13,127.024198,37.5132993
서울특별시 강남구 논현동 학동로7길 6,127.0238874,37.512603
서울특별시 강남구 논현동 강남대로146길 28,127.0226688,37.5147153
서울특별시 강남구 논현동 도산대로50길 43,127.0381309,37.5196301
서울특별시 강남구 논현동 언주로136길 21,127.037354,37.5178339
서울특별시 강남구 논현동 강남대로120길 58,127.0279892,37.5075667
서울특별시 강남구 논현동 강남대로124길 51,127.0261074,37.510238
서울특별시 강남구 논현동 논현로111길 34,127.030696,37.507207
서울특별시 강남구 논현동 봉은사로29길 26,127.0341167,37.5092521
서울특별시 강남구 논현동 강남대로136길 40,127.0236446,37.5137281
서울특별시 강남구 논현동 도산대로 232,127.0322154,37.5202882
서울특별시 강남구 논현동 봉은사로51길 40,127.0422516,37.5126506
서울특별시 강남구 논현동 선릉로137길 20,127.0387295,37.5190516
서울특별시 강남구 논현동 봉은사로29길 25,127.0338244,37.5089626
서울특별시 강남구 논현동 도산대로30길 56,127.0305873,37.5162255
서울특별시 강남구 논현동 논현로124길 28,127.0338086,37.5126054
서울특별시 강남구 논현동 논현로140길 22,127.0313014,37.5170403
서울특별시 강남구 논현동 봉은사로29길 35,127.0335241,37.5097158
서울특별시 강남구 논현동 도산대로46길 21,127.0371476,37.520717
서울특별시 강남구 논현동 봉은사로21길 19,127.0307289,37.5076849
서울특별시 강남구 논현동 학동로42길 60,127.0367687,37.5115862
서울특별시 강남구 논현동 언주로 620,127.0363107,37.5116241
서울특별시 강남구 대치동 선릉로 120,127.043959,37.5138841
서울특별시 강남구 대치동 삼성로85길 42,127.053752,37.5046324
서울특별시 강남구 대치동 선릉로90길 56,127.0535226,37.5050809
서울특별시 강남구 대치동 삼성로51길 25,127.0603513,37.4957694
서울특별시 강남구 대치동 삼성로85길 38,127.0542093,37.5045439
서울특별시 강남구 대치동 테헤란로68길 15,127.052556,37.5043148
서울특별시 강남구 대치동 영동대로 230,127.0691394,37.5002334
서울특별시 강남구 대치동 삼성로57길 37-5,127.0584933,37.4970495
서울특별시 강남구 대치동 선릉로76길 12,127.0515928,37.5013869
서울특별시 강남구 대치동 선릉로62길 38,127.0554559,37.4977981
서울특별시 강남구 대치동 도곡로69길 7,127.055872,37.4980138
서울특별시 강남구 대치동 선릉로 206,127.0557447,37.4927927
서울특별시 강남구 대치동 선릉로72길 10-7,127.0526025,37.4997269
서울특별시 강남구 대치동 삼성로51길 35,127.0608662,37.4950702
서울특별시 강남구 대치동 삼성로51길 37,127.0580036,37.4942974
서울특별시 강남구 대치동 삼성로85길 11,127.0564488,37.5047553
서울특별시 강남구 대치동 삼성로75길 34,127.0554655,37.5029709
서울특별시 강남구 대치동 삼성로57길 45,127.0575271,37.4970236
서울특별시 강남구 대치동 도곡로78길 13,127.0601171,37.4975704
서울특별시 강남구 대치동 삼성로 151,127.0625653,37.4921261
서울특별시 강남구 대치동 남부순환로395길 10,127.0609483,37.4941777
서울특별시 강남구 대치동 테헤란로64길 9,127.0515557,37.5044956
서울특별시 강남구 대치동 테헤란로64길 13,127.0514588,37.5042546
서울특별시 강남구 대치동 삼성로63길 16-5,127.0584856,37.5000883
서울특별시 강남구 대치동 영동대로65길 57,127.0621609,37.5007525
서울특별시 강남구 대치동 역삼로 451,127.0561911,37.5027671
서울특별시 강남구 대치동 영동대로 220,127.0704835,37.4994722
서울특별시 강남구 대치동 영동대로 210,127.0712194,37.4980827
서울특별시 강남구 대치동 선릉로86길 11,127.050529,37.5033695
서울특별시 강남구 대치동 영동대로85길 17,127.062278,37.506883
서울특별시 강남구 대치동 남부순환로391길 7,127.0571787,37.4924491
서울특별시 강남구 대치동 삼성로 417,127.057042,37.5039582
서울특별시 강남구 대치동 역삼로 438,127.0550653,37.5017058
